YYYYMMDD,MKT_RF,SMB,HML,RF,CNSMR,MANUF,HITEC,HEALTH,OTHER
20170809,-0.14,-0.77,-0.1,0.004,-0.18,-0.15,-0.17,0.06,-0.17
20170810,-1.49,-0.3,0.25,0.004,-1.23,-0.95,-1.83,-1.47,-1.67
20170811,0.2,0.24,-0.88,0.004,0.4,-0.21,0.67,0.47,-0.25
20170814,1.03,0.26,0.1,0.004,0.65,0.52,1.42,0.74,1.35
20170815,-0.11,-0.85,-0.03,0.004,-0.48,-0.14,-0.04,-0.03,0.04
20170816,0.18,-0.14,-0.44,0.004,0.44,0.02,0.26,0.24,-0.01
20170817,-1.59,-0.15,-0.16,0.004,-1.26,-1.38,-1.89,-1.44,-1.69
20170818,-0.15,0.14,0.23,0.004,-0.51,0.21,-0.11,-0.33,-0.12
20170821,0.06,-0.26,-0.23,0.004,0.1,-0.16,0.04,0.42,0.06
20170822,1.07,-0.01,-0.24,0.004,0.72,0.79,1.39,1.17,1.04
20170823,-0.32,0.1,0.41,0.004,-0.4,-0.08,-0.25,-0.74,-0.39
20170824,-0.14,0.6,0.18,0.004,-0.82,-0.11,-0.09,0.51,-0.08
20170825,0.18,0.13,0.57,0.004,0.28,0.29,-0.01,-0.15,0.32
20170828,0.08,0.36,-0.71,0.004,-0.09,-0.07,0.22,0.86,-0.17
20170829,0.1,0.13,-0.38,0.004,0.06,0.1,0.32,0.17,-0.15
20170830,0.53,0,-0.3,0.004,0.44,0.23,0.82,0.74,0.42
20170831,0.62,0.48,-0.44,0.004,0.39,0.61,0.65,1.82,0.36
20170901,0.27,0.41,0.41,0.005,0.49,0.37,0.01,-0.04,0.48
20170905,-0.81,0.11,-0.96,0.005,-0.1,-0.33,-0.82,-0.49,-1.65
20170906,0.28,-0.03,0.13,0.005,0.51,0.37,0.06,0.48,0.23
20170907,-0.07,0.15,-0.91,0.005,0.24,0.31,-0.18,1.01,-0.9
20170908,-0.16,0.03,0.37,0.005,-0.4,-0.15,-0.71,0.35,0.46
20170911,1.08,-0.12,0.65,0.005,0.71,1.06,1.09,0.7,1.45
20170912,0.44,0.24,0.71,0.005,0.39,0.1,0.31,0.37,0.87
20170913,0.11,0.31,0.37,0.005,0.5,0.3,-0.04,-0.41,0.05
20170914,-0.12,-0.04,-0.07,0.005,-0.38,0.55,-0.47,0.27,-0.25
20170915,0.19,0.27,0.13,0.005,0.19,0.31,0.27,-0.29,0.27
20170918,0.24,0.38,0.2,0.005,-0.22,0.42,0.1,0.14,0.65
20170919,0.15,-0.3,0.39,0.005,-0.43,0.29,0.46,-0.56,0.33
20170920,0.16,0.23,0.51,0.005,-0.15,0.31,-0.28,0.29,0.61
20170921,-0.28,0.11,0.36,0.005,-0.48,-0.25,-0.55,-0.59,0.22
20170922,0.12,0.43,0.12,0.005,0,0.07,0.25,0.08,0.17
20170925,-0.25,0.32,0.61,0.005,0.25,0.56,-1.04,-0.19,-0.27
20170926,0.05,0.39,0.14,0.005,0.18,0,0.18,-0.42,0.14
20170927,0.63,1.37,0.2,0.005,0.23,0.15,1.02,0.06,1.03
20170928,0.13,0.16,-0.05,0.005,0.16,0.19,-0.1,0.14,0.29
20170929,0.35,-0.13,-0.26,0.005,0.02,0.03,0.69,0.67,0.29
20171002,0.5,0.84,0.14,0.004,0.18,0.57,0.25,1.12,0.67
20171003,0.26,-0.03,-0.03,0.004,0.2,0.08,0.39,-0.14,0.43
20171004,0.05,-0.28,-0.45,0.004,0.23,0.26,0.04,0.44,-0.3
20171005,0.55,-0.33,0.36,0.004,0.55,0.25,0.69,0.25,0.74
20171006,-0.08,-0.08,-0.26,0.004,-0.37,-0.31,0.15,-0.05,0
20171009,-0.22,-0.29,-0.01,0.004,-0.41,0.04,0.01,-0.65,-0.43
20171010,0.24,-0.01,0.42,0.004,0.62,0.24,-0.02,0.34,0.28
20171011,0.16,-0.19,-0.21,0.004,0.21,0.26,0.25,0.21,-0.03
20171012,-0.18,0.05,-0.51,0.004,0.1,0.19,-0.4,-0.1,-0.42
20171013,0.04,-0.25,0.11,0.004,0.09,0.02,0.32,-0.26,-0.14
20171016,0.17,-0.3,0.33,0.004,-0.08,0.13,0.33,-0.3,0.38
20171017,0.01,-0.31,-0.28,0.004,0,-0.05,-0.03,0.96,-0.29
20171018,0.14,0.29,0.21,0.004,-0.04,-0.19,0.19,-0.02,0.44
20171019,0.02,-0.38,0.18,0.004,-0.26,0.05,-0.15,0.47,0.13
20171020,0.57,-0.08,0.29,0.004,0.44,0.45,0.63,-0.18,0.98
20171023,-0.45,-0.44,0.19,0.004,-0.32,-0.41,-0.55,-0.4,-0.43
20171024,0.2,-0.19,0.48,0.004,0.06,0.53,0.21,-0.89,0.5
20171025,-0.51,0,0.13,0.004,-0.42,-0.55,-0.49,-0.47,-0.54
20171026,0.2,0.04,0.26,0.004,0.27,0.34,0.19,-1.57,0.72
20171027,0.82,-0.01,-0.97,0.004,0.86,0.2,2.09,0.25,0.09
20171030,-0.46,-0.78,-0.05,0.004,-0.65,-0.29,0.02,-1,-0.68
20171031,0.23,0.84,-0.25,0.004,0.45,0.32,0.44,-0.22,-0.06
20171101,0.05,-0.77,0.11,0.004,-0.06,0.31,-0.06,-0.07,0.11
20171102,0.06,-0.04,0.5,0.004,-0.44,0.1,-0.17,-0.16,0.59
20171103,0.31,-0.42,-0.73,0.004,0.33,0.15,0.68,0.89,-0.12
20171106,0.06,0.23,0.19,0.004,-0.45,0.53,0.27,-0.37,0.08
20171107,-0.2,-1.36,-0.4,0.004,0.17,0.17,-0.1,0.03,-0.93
20171108,0.12,0.07,-0.58,0.004,0.63,-0.07,0.35,0.43,-0.38
20171109,-0.41,-0.01,0.24,0.004,-0.12,-0.35,-0.65,0.13,-0.51
20171110,0.01,0.06,-0.42,0.004,0.56,-0.14,0.08,-0.58,-0.09
20171113,0.09,-0.32,0.07,0.004,0.3,0.17,-0.02,-0.04,0.03
20171114,-0.22,-0.13,0,0.004,0.32,-0.33,-0.37,-0.52,-0.15
20171115,-0.52,-0.05,0.22,0.004,-0.79,-0.91,-0.52,-0.19,-0.19
